Product code,Title,Fabric,Option,Variant,SKU,Legacy SKU,Price (INR incl. GST),Compare at,Available on old site,HSN (to confirm),GST % (to confirm),Handle,Images
RUD-SLK-0029,Mooga silk saree,Silk,,,RUD-SLK-0029-01,,7200,,yes,5007,5,mooga-silk-saree,6
RUD-BAN-0030,Semi-Georgette with Banarasi butta,Banarasi and Georgette,Color,Pink,RUD-BAN-0030-01,,3600,4400,yes,5007,5,semi-georgette-with-banarasi-butta,3
RUD-BAN-0030,Semi-Georgette with Banarasi butta,Banarasi and Georgette,Color,Chocolate,RUD-BAN-0030-02,,3600,4400,yes,5007,5,semi-georgette-with-banarasi-butta,3
RUD-BAN-0030,Semi-Georgette with Banarasi butta,Banarasi and Georgette,Color,Red,RUD-BAN-0030-03,,3600,4400,yes,5007,5,semi-georgette-with-banarasi-butta,3
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Bright red,RUD-LIN-0031-01,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Black,RUD-LIN-0031-02,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Blue ash,RUD-LIN-0031-03,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Grey,RUD-LIN-0031-04,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Chill red,RUD-LIN-0031-05,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Rose,RUD-LIN-0031-06,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-LIN-0031,Linen with silver sequence,Linen,Colour,Peach,RUD-LIN-0031-07,,2900,3200,yes,5309,5,linen-with-silver-sequence,6
RUD-TUS-0032,Ghicha Tussar Silk Handloom Saree,Tussar Silk,,,RUD-TUS-0032-01,,2850,,yes,5007,5,ghicha-tussar-silk-handloom-saree,1
RUD-SLK-0033,Assam silk with Indian Shibori patterns -orange and black checks,Silk,Color,Orange and black checks,RUD-SLK-0033-01,,2450,,yes,5007,5,assam-silk-with-indian-shibori-patterns-orange-and-black-checks,1
RUD-SLK-0034,Assam silk with Indian Shibori patterns -Bandhini style,Silk,Color,Blue,RUD-SLK-0034-01,,2450,,yes,5007,5,assam-silk-with-indian-shibori-patterns-bandhini-style,1
RUD-SLK-0035,Assam silk with Indian Shibori patterns,Silk,Color combinations,White and black,RUD-SLK-0035-01,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns,5
RUD-SLK-0035,Assam silk with Indian Shibori patterns,Silk,Color combinations,Yellow and black,RUD-SLK-0035-02,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns,5
RUD-SLK-0035,Assam silk with Indian Shibori patterns,Silk,Color combinations,Navy blue and white,RUD-SLK-0035-03,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns,5
RUD-SLK-0035,Assam silk with Indian Shibori patterns,Silk,Color combinations,Light blue and white,RUD-SLK-0035-04,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns,5
RUD-SLK-0035,Assam silk with Indian Shibori patterns,Silk,Color combinations,Orange and white,RUD-SLK-0035-05,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns,5
RUD-SLK-0036,Assam silk with Indian Shibori patterns-Dots,Silk,Color combo,Black with red dots,RUD-SLK-0036-01,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns-dots,2
RUD-SLK-0036,Assam silk with Indian Shibori patterns-Dots,Silk,Color combo,Blue with yellow dots,RUD-SLK-0036-02,,1960,,yes,5007,5,assam-silk-with-indian-shibori-patterns-dots,2
RUD-SLK-0037,Assam silk Shibori Handloom saree,Silk,Color combinations,Yellow and blue,RUD-SLK-0037-01,,2450,,yes,5007,5,assam-silk-shibori-handloom-saree,2
RUD-SLK-0037,Assam silk Shibori Handloom saree,Silk,Color combinations,Green and pink,RUD-SLK-0037-02,,2450,,yes,5007,5,assam-silk-shibori-handloom-saree,2
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B1,RUD-SLK-0038-01,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B2,RUD-SLK-0038-02,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B3,RUD-SLK-0038-03,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B4,RUD-SLK-0038-04,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B5,RUD-SLK-0038-05,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B6,RUD-SLK-0038-06,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B7,RUD-SLK-0038-07,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B8,RUD-SLK-0038-08,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0038,Chanderi Silk Handloom Saree - Bold prints,Silk,Designs,Design B9,RUD-SLK-0038-09,,2450,,yes,5007,5,chanderi-silk-handloom,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C1,RUD-SLK-0039-01,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C2,RUD-SLK-0039-02,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C3,RUD-SLK-0039-03,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C4,RUD-SLK-0039-04,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C5,RUD-SLK-0039-05,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C6,RUD-SLK-0039-06,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0039,Chanderi Silk Handloom Saree -Striped prints,Silk,Designs,Design C7,RUD-SLK-0039-07,,2450,,yes,5007,5,chanderi-silk-handloom-saree-striped-prints,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D1,RUD-SLK-0040-01,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D2,RUD-SLK-0040-02,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D3,RUD-SLK-0040-03,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D4,RUD-SLK-0040-04,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D5,RUD-SLK-0040-05,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D6,RUD-SLK-0040-06,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0040,Chanderi Silk Handloom Saree,Silk,Designs,Design D7,RUD-SLK-0040-07,,2450,,yes,5007,5,chanderi-silk-handloom-saree,6
RUD-SLK-0041,Maheshwari Silk Handloom -Geometric patterns,Silk,Patterns,Pattern A1,RUD-SLK-0041-01,,2450,,yes,5007,5,maheshwari-silk-handloom-geometric-patterns,5
RUD-SLK-0041,Maheshwari Silk Handloom -Geometric patterns,Silk,Patterns,Pattern A2,RUD-SLK-0041-02,,2450,,yes,5007,5,maheshwari-silk-handloom-geometric-patterns,5
RUD-SLK-0041,Maheshwari Silk Handloom -Geometric patterns,Silk,Patterns,Pattern A3,RUD-SLK-0041-03,,2450,,yes,5007,5,maheshwari-silk-handloom-geometric-patterns,5
RUD-SLK-0041,Maheshwari Silk Handloom -Geometric patterns,Silk,Patterns,Pattern A4,RUD-SLK-0041-04,,2450,,yes,5007,5,maheshwari-silk-handloom-geometric-patterns,5
RUD-SLK-0041,Maheshwari Silk Handloom -Geometric patterns,Silk,Patterns,Pattern A5,RUD-SLK-0041-05,,2450,,yes,5007,5,maheshwari-silk-handloom-geometric-patterns,5
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B1,RUD-SLK-0042-01,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B2,RUD-SLK-0042-02,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B3,RUD-SLK-0042-03,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B4,RUD-SLK-0042-04,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B5,RUD-SLK-0042-05,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B6,RUD-SLK-0042-06,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B7,RUD-SLK-0042-07,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0042,Maheshwari Silk Handloom Saree - Striped,Silk,Patterns,Pattern B8,RUD-SLK-0042-08,,2450,,yes,5007,5,maheshwari-silk-handloom-saree-striped,6
RUD-SLK-0043,Maheshwari Silk Handloom Saree - Floral Butis,Silk,Patterns,Pattern C1,RUD-SLK-0043-01,,2450,2800,yes,5007,5,maheshwari-silk-handloom-saree-floral-butis,4
RUD-SLK-0043,Maheshwari Silk Handloom Saree - Floral Butis,Silk,Patterns,Pattern C2,RUD-SLK-0043-02,,2450,2800,yes,5007,5,maheshwari-silk-handloom-saree-floral-butis,4
RUD-SLK-0043,Maheshwari Silk Handloom Saree - Floral Butis,Silk,Patterns,Pattern C3,RUD-SLK-0043-03,,2450,2800,yes,5007,5,maheshwari-silk-handloom-saree-floral-butis,4
RUD-SLK-0043,Maheshwari Silk Handloom Saree - Floral Butis,Silk,Patterns,Pattern C4,RUD-SLK-0043-04,,2450,2800,yes,5007,5,maheshwari-silk-handloom-saree-floral-butis,4
RUD-BAN-0044,PRE ORDER - Khadi Georgette Sari - Shruti,Banarasi and Georgette,,,RUD-BAN-0044-01,,17500,22500,yes,5007,5,pre-order-khadi-georgette-sari-shruti,1
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F1,RUD-KOT-0045-01,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F2,RUD-KOT-0045-02,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F3,RUD-KOT-0045-03,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F4,RUD-KOT-0045-04,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F5,RUD-KOT-0045-05,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0045,Kota Doria Sarees-Blue shades,Kota Doria,Designs,Design F6,RUD-KOT-0045-06,,1750,,yes,5208,5,kota-doria-sarees-blue-shades,6
RUD-KOT-0046,Kota Doria Sarees - Striped,Kota Doria,Designs,Design G1,RUD-KOT-0046-01,,1750,,yes,5208,5,kota-doria-sarees-striped,3
RUD-KOT-0046,Kota Doria Sarees - Striped,Kota Doria,Designs,Design G2,RUD-KOT-0046-02,,1750,,yes,5208,5,kota-doria-sarees-striped,3
RUD-KOT-0046,Kota Doria Sarees - Striped,Kota Doria,Designs,Design G3,RUD-KOT-0046-03,,1750,,yes,5208,5,kota-doria-sarees-striped,3
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Design H1,RUD-KOT-0047-01,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Desgin H2,RUD-KOT-0047-02,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Design H3,RUD-KOT-0047-03,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Design H4,RUD-KOT-0047-04,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Design H5,RUD-KOT-0047-05,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-KOT-0047,Kota Doria Sarees,Kota Doria,Designs,Design H6,RUD-KOT-0047-06,,1750,,yes,5208,5,kota-doria-sarees,6
RUD-COT-0048,Mul Cotton Sarees- Black shades,Cotton,Design,Design I1,RUD-COT-0048-01,,900,,yes,5208,5,mul-cotton-sarees-black-shades,5
RUD-COT-0048,Mul Cotton Sarees- Black shades,Cotton,Design,Design I2,RUD-COT-0048-02,,900,,yes,5208,5,mul-cotton-sarees-black-shades,5
RUD-COT-0048,Mul Cotton Sarees- Black shades,Cotton,Design,Design I3,RUD-COT-0048-03,,900,,yes,5208,5,mul-cotton-sarees-black-shades,5
RUD-COT-0048,Mul Cotton Sarees- Black shades,Cotton,Design,Design I4,RUD-COT-0048-04,,900,,yes,5208,5,mul-cotton-sarees-black-shades,5
RUD-COT-0048,Mul Cotton Sarees- Black shades,Cotton,Design,Design I5,RUD-COT-0048-05,,900,,yes,5208,5,mul-cotton-sarees-black-shades,5
RUD-COT-0049,Mul Cotton Sarees-Black Border,Cotton,Designs,Design J1,RUD-COT-0049-01,,900,,yes,5208,5,mul-cotton-sarees-black-border,4
RUD-COT-0049,Mul Cotton Sarees-Black Border,Cotton,Designs,Design J2,RUD-COT-0049-02,,900,,yes,5208,5,mul-cotton-sarees-black-border,4
RUD-COT-0049,Mul Cotton Sarees-Black Border,Cotton,Designs,Design J3,RUD-COT-0049-03,,900,,yes,5208,5,mul-cotton-sarees-black-border,4
RUD-COT-0049,Mul Cotton Sarees-Black Border,Cotton,Designs,Design J4,RUD-COT-0049-04,,900,,yes,5208,5,mul-cotton-sarees-black-border,4
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K1,RUD-COT-0050-01,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K2,RUD-COT-0050-02,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K3,RUD-COT-0050-03,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K4,RUD-COT-0050-04,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K5,RUD-COT-0050-05,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K6,RUD-COT-0050-06,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0050,Mul Cotton Sarees - Blue Shades,Cotton,Designs,Design K7,RUD-COT-0050-07,,900,,yes,5208,5,mul-cotton-sarees-blue-shades,6
RUD-COT-0051,Mul Cotton Sarees,Cotton,Designs,Design L1,RUD-COT-0051-01,,900,,yes,5208,5,mul-cotton-sarees,4
RUD-COT-0051,Mul Cotton Sarees,Cotton,Designs,Design L2,RUD-COT-0051-02,,900,,yes,5208,5,mul-cotton-sarees,4
RUD-COT-0051,Mul Cotton Sarees,Cotton,Designs,Design L3,RUD-COT-0051-03,,900,,yes,5208,5,mul-cotton-sarees,4
RUD-COT-0051,Mul Cotton Sarees,Cotton,Designs,Design L4,RUD-COT-0051-04,,900,,yes,5208,5,mul-cotton-sarees,4
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,Mustard gold,RUD-LIN-0052-01,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,Lavander,RUD-LIN-0052-02,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,Beige,RUD-LIN-0052-03,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,Mint green,RUD-LIN-0052-04,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,Sage olive,RUD-LIN-0052-05,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
RUD-LIN-0052,Silk Linen Sarees-Tulip style Floral Motifs,Linen,Color,beige brown,RUD-LIN-0052-06,,4700,5200,yes,5309,5,untitled-31aug_09-31-40,6
